filename,start_time,sport,sub_sport,total_distance,total_timer_time,avg_speed,pace,avg_heart_rate,HRE,max_heart_rate,max_speed,total_ascent,total_descent,undefined,avg_cadence,max_cadence,total_training_effect,swim_stroke,avg_temperature,max_temperature,total_anaerobic_effect
2020-09-01T15_50_22+00_00_5472387357.fit,2020-09-01T15:50:22.000Z,running,generic,16.01672,01:27:32,10.9764,5.466273095003826,136,743.4131409205204,151,13.1688,0.123,0.127,undefined,90,96,3.5,undefined,31,33,0
2020-09-03T16_02_36+00_00_5482235452.fit,2020-09-03T16:02:36.000Z,running,generic,14.00868,01:11:21,11.7792,5.093724531377343,153,779.3398533007335,168,13.9068,0.11900000000000001,0.11900000000000001,undefined,92,97,5,undefined,32,33,1.4
2020-09-04T15_33_58+00_00_5486906222.fit,2020-09-04T15:33:58.000Z,running,generic,16.01381,01:30:07,10.663200000000002,5.6268287193337825,129,725.8609047940579,143,12.4632,0.13,0.125,undefined,89,95,2.8,undefined,31,33,0
2020-09-05T12_24_33+00_00_5491713608.fit,2020-09-05T12:24:33.000Z,cycling,generic,83.9906,03:27:45,24.256800000000002,2.473533194815474,132,326.5063817156426,158,51.159600000000005,0.669,0.661,undefined,undefined,undefined,3.2,undefined,35,39,3.1
2020-09-12T12_49_36+00_00_5526163301.fit,2020-09-12T12:49:36.000Z,cycling,generic,70.54803,03:09:37,22.3236,2.6877385367951407,119,319.84088587862175,144,48.236399999999996,0.541,0.549,undefined,undefined,undefined,2.6,undefined,31,34,1.3
2020-09-07T15_31_34+00_00_5501883755.fit,2020-09-07T15:31:34.000Z,running,generic,19.015,01:37:53,11.6568,5.147210212065061,142,730.9038501132386,159,13.874400000000001,0.154,0.151,undefined,91,97,4.5,undefined,30,31,0.5
